typcare,oshpd_id,oshpd_id9,hplzip,hplcnty,data_id,pat_id,bthdate,dob_raw,agdyadm,agdydsch,agyradm,agyrdsch,agecatadm,agecatdsch,agecatdsch10,sex,ethncty,race1,race2,race3,race4,race5,race_aman,race_asian,race_black,race_nhpi,race_white,race_other,race_grp,admtdate,admtday,admtmth,qtr_adm,admtyr,dschdate,mth_dsch,qtr_dsch,dsch_yr,counter,los,los_adj,srcpo_ns,srcroute_ns,admtype_ns,MDC,MSDRG,cat-code,sev-code,grouper,diag_p,poa_p,odiag1,opoa1,odiag2,opoa2,odiag3,opoa3,odiag4,opoa4,odiag5,opoa5,odiag6,opoa6,odiag7,opoa7,odiag8,opoa8,odiag9,opoa9,odiag10,opoa10,odiag11,opoa11,odiag12,opoa12,odiag13,opoa13,odiag14,opoa14,odiag15,opoa15,odiag16,opoa16,odiag17,opoa17,odiag18,opoa18,odiag19,opoa19,odiag20,opoa20,odiag21,opoa21,odiag22,opoa22,odiag23,opoa23,odiag24,opoa24,proc_p,proc_pdt,proc_pdy,oproc1,procdt1,procdy1,oproc2,procdt2,procdy2,oproc3,procdt3,procdy3,oproc4,procdt4,procdy4,oproc5,procdt5,procdy5,oproc6,procdt6,procdy6,oproc7,procdt7,procdy7,oproc8,procdt8,procdy8,oproc9,procdt9,procdy9,oproc10,procdt10,procdy10,oproc11,procdt11,procdy11,oproc12,procdt12,procdy12,oproc13,procdt13,procdy13,oproc14,procdt14,procdy14,oproc15,procdt15,procdy15,oproc16,procdt16,procdy16,oproc17,procdt17,procdy17,oproc18,procdt18,procdy18,oproc19,procdt19,procdy19,oproc20,procdt20,procdy20,oproc21,procdt21,procdy21,oproc22,procdt22,procdy22,oproc23,procdt23,procdy23,oproc24,procdt24,procdy24,ecm1,epoa1,ecm2,epoa2,ecm3,epoa3,ecm4,epoa4,ecm5,epoa5,ecm6,epoa6,ecm7,epoa7,ecm8,epoa8,ecm9,epoa9,ecm10,epoa10,ecm11,epoa11,ecm12,epoa12,ssn,rln,disp,charge,charge_adj,abstrec,dnr,pay_cat,pay_type,pay_plan,pls_abbr,pls_wrtin,patcnty,patzip
1,,,95354,50,1000000001,100000000001,10291964,10291964,0,0,35,35,09,09,05,F,E2,R5,,,,,,,,,,,,11221999,2,11,4,1999,11231999,11,4,1999,1,1,,2,3,3,,,,,,Z9851,U,Z302,W,Z9851,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287664005,19991122,0,133899007,19991122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999343581,999343581,90,14731,14731,999-34-3581,Y,06,2,0000,SPA,Spanish,50,95363
1,,,92354,36,1000000002,100000000002,11101961,11101961,0,0,30,30,08,08,05,M,E1,R3,,,,,,,,,,,,11291991,6,11,4,1991,11301991,11,4,1991,2,1,,6,3,9,,,,,,F1920,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,03,166,166,999-26-9741,Y,06,1,0000,SPA,Spanish,36,92404
1,,,92354,36,1000000003,100000000002,11101961,11101961,0,0,54,54,12,12,07,M,E1,R3,,,,,,,,,,,,09242016,0,9,3,2016,09272016,9,3,2016,3,3,,2,3,9,,,,,,F1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,02,166,166,999-26-9741,Y,06,,0000,ENG,English,36,92404
1,,,92354,36,1000000004,100000000002,11101961,11101961,0,0,55,55,13,13,07,M,E1,R3,,,,,,,,,,,,12102016,0,12,4,2016,12122016,12,4,2016,4,2,,D,3,5,,,,,,C189,Y,C189,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43075005,20161210,0,133899007,20161210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,89,18994,18994,999-26-9741,N,06,1,0000,SPA,Spanish,36,92404
1,,,92354,36,1000000005,100000000002,11101961,11101961,0,0,56,56,13,13,07,M,E1,R3,,,,,,,,,,,,02052018,2,2,1,2018,02122018,2,1,2018,5,7,,8,3,9,,,,,,F1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,01,166,166,999-26-9741,N,01,,0000,ENG,English,36,92404
1,,,92354,36,1000000006,100000000002,11101961,11101961,0,0,57,57,13,13,07,M,E1,R3,,,,,,,,,,,,05312019,6,5,2,2019,06062019,6,2,2019,6,6,,F,2,1,,,,,,F1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,81,166,166,999-26-9741,N,06,,0000,ENG,English,36,92404
1,,,92354,36,1000000007,100000000002,11101961,11101961,0,0,60,60,14,14,08,M,E1,R3,,,,,,,,,,,,12252021,0,12,4,2021,01092022,1,1,2022,7,15,,F,3,2,,,,,,F1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,66,166,166,999-26-9741,Y,06,,0000,ENG,English,36,92404
1,,,,,1000000008,100000000002,11101961,11101961,0,0,61,61,14,14,08,M,E1,R3,,,,,,,,,,,,03302023,5,3,1,2023,03312023,3,1,2023,8,1,,E,3,2,,,,,,I351,Y,I351,Y,I351,W,I351,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63332003,20230330,0,452331000124102,20230330,0,183976008,20230330,0,306185001,20230330,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,86,2502,2502,999-26-9741,N,06,1,0000,ENG,English,36,92404
1,,,,,1000000009,100000000002,11101961,11101961,0,0,61,61,14,14,08,M,E1,R3,,,,,,,,,,,,05052023,6,5,2,2023,05062023,5,2,2023,9,1,,E,3,9,,,,,,Z952,W,I259,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133900002,20230505,0,392247006,20230505,0,410770002,20230505,0,52765003,20230505,0,34896006,20230505,0,42825003,20230505,0,63697000,20230505,0,301882004,20230505,0,8290005,20230505,0,26212005,20230505,0,301884003,20230505,0,105376000,20230505,0,233553003,20230505,0,58828004,20230505,0,37729005,20230505,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,01,8906,8906,999-26-9741,Y,06,1,0000,ENG,English,36,92404
1,,,,,1000000010,100000000002,11101961,11101961,0,0,61,61,14,14,08,M,E1,R3,,,,,,,,,,,,05052023,6,5,2,2023,05062023,5,2,2023,10,1,,8,3,2,,,,,,J9851,U,Z952,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271280005,20230505,0,306706006,20230506,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999269741,999269741,05,1767,1767,999-26-9741,Y,06,1,0000,ENG,English,36,92404
