Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
025bc586-1429-05e2-ae9f-978a068f42fa,2015-07-31,,999-32-7114,,,,Mora,Nienow,,,,asian,nonhispanic,F,Springfield  Massachusetts  US,204 Koelpin Vista,Billerica,Massachusetts,Middlesex County,,00000,42.59428301680855,-71.28822434963779,1300.00,11858.63,24353
52b6f08a-21d8-60a8-3dbb-eedd5b662da2,2021-01-20,,999-84-8812,,,,Dusti,Hoppe,,,,white,nonhispanic,F,Berlin  Berlin  DE,268 Wintheiser Track,Newton,Massachusetts,Middlesex County,25017,02460,42.31133464967239,-71.20617975133304,6709.66,0.00,70455
17885864-7eca-0aa7-f767-1e0e5db7e53e,1947-01-25,,999-46-5874,S99979080,X89382813X,Mrs.,Alex,Hyatt,,Crona,M,white,nonhispanic,F,South Hadley  Massachusetts  US,964 Cartwright Terrace,Amesbury,Massachusetts,Essex County,25009,01913,42.816405535445284,-70.93927451818261,124565.35,910971.49,167169
60d04bd3-06ca-9e8a-fc2d-1763a2e3ff95,1961-01-03,,999-78-2691,S99974252,X44733087X,Mrs.,Pura,Hyatt,,Cruickshank,D,white,nonhispanic,F,Newton  Massachusetts  US,986 Conn Path Apt 53,Taunton,Massachusetts,Bristol County,25005,02780,41.85547334715104,-71.10209817835873,15506.04,609770.37,6401
6b272a28-867f-b462-e147-72153c1837d1,1996-02-02,,999-21-5495,S99946569,X3348420X,Ms.,Ana María,Vega,,,,black,hispanic,F,Lima  Lima Province  PE,1069 Weber Arcade,Boston,Massachusetts,Suffolk County,25025,02128,42.28974323931308,-71.06921513820825,7000.00,357192.50,4817
0cea2ee1-4e01-f50c-bf35-a3247a6c52ea,2003-10-30,,999-12-1588,S99985767,,Ms.,Jene,Crooks,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,983 Hoeger Passage,Lawrence,Massachusetts,Essex County,25009,01840,42.70304858580212,-71.202502376186,25763.81,16724.79,41434
48916e1b-2d63-c526-ea3c-e625181a197c,1997-03-14,,999-16-8736,S99974810,X79528741X,Ms.,Ludivina,Waters,,,,white,nonhispanic,F,North Andover  Massachusetts  US,829 Mertz Union Apt 7,Boston,Massachusetts,Suffolk County,25025,02115,42.35270544390385,-71.08755038469845,7163.41,93819.62,1120
0e9a2600-bb4a-0751-750e-28bd9062dace,2000-11-09,,999-87-5094,S99978609,X57220863X,Ms.,Jesse,Mueller,,,,white,nonhispanic,F,Somerville  Massachusetts  US,805 Dibbert Brook Unit 52,Wellesley,Massachusetts,Norfolk County,25021,02482,42.314102233076966,-71.30952574939667,104699.79,751720.69,848960
de89443f-25e0-904b-34f3-bc6a2bad19f4,1999-07-05,,999-58-7615,S99995523,X72001865X,Ms.,Cheryll,Huel,,,,asian,nonhispanic,F,Plymouth  Massachusetts  US,879 Stark Trailer,Watertown,Massachusetts,Middlesex County,25017,02472,42.411059622351715,-71.20851108338034,32837.56,108.54,107261
65f6993a-dae3-d00e-72ea-4b0b6751893d,2019-11-08,,999-81-9785,,,,Roxana,Nicolas,,,,white,nonhispanic,F,Baldwinville  Massachusetts  US,690 Wolff Road Suite 12,Princeton,Massachusetts,Worcester County,,00000,42.4201521382073,-71.92291568353289,7255.51,10978.81,84005
ad8f3c2f-c292-268a-5bed-b1d9ffe63111,2016-05-20,,999-58-2129,,,,Laverne,Kutch,,,,white,nonhispanic,F,Andover  Massachusetts  US,926 Hamill Lock Suite 69,Dracut,Massachusetts,Middlesex County,,00000,42.63265732005718,-71.33288781068848,9789.60,4529.71,64079
984e999b-d753-cb6b-cf66-2dfc840db25e,1980-12-16,,999-66-3913,S99938670,X21592443X,Mrs.,Glayds,Goldner,,Blanda,M,white,nonhispanic,F,Boston  Massachusetts  US,306 Pollich Green,Harwich,Massachusetts,Barnstable County,,00000,41.707467951614376,-70.06603140313474,240174.79,269889.82,42744
6b9554cc-4560-9d92-bad8-907b2496d112,2018-08-21,,999-87-4099,,,,Creola,Cruickshank,,,,white,nonhispanic,F,Boston  Massachusetts  US,833 Schoen Parade Suite 21,Worcester,Massachusetts,Worcester County,25027,01605,42.28119132395991,-71.7882821344337,15585.07,2191.65,48300
f959daca-2b3d-14f7-2ec8-94bbbe9a0537,1968-12-02,,999-38-5996,S99959496,X46657435X,Ms.,Keiko,Wiza,,,S,white,nonhispanic,F,New Bedford  Massachusetts  US,363 Robel Estate Suite 65,Somerville,Massachusetts,Middlesex County,25017,02138,42.401899146252696,-71.08455871138064,703623.94,976136.90,104079
5af4b8c9-5ec5-2ae3-cc58-93f63d395ec0,2022-03-25,,999-91-6415,,,,Milissa,Rowe,,,,white,nonhispanic,F,Worcester  Massachusetts  US,136 Macejkovic Stravenue,Waltham,Massachusetts,Middlesex County,25017,02451,42.393934511176816,-71.19506282118375,1940.19,1928.79,315270
714fc8fd-43f5-cbf6-671d-b4c14687ac64,1997-03-22,,999-56-4837,S99951300,X41416366X,Ms.,Lesia,Gerlach,,,,white,hispanic,F,Beverly  Massachusetts  US,100 Jerde Arcade Unit 82,Boston,Massachusetts,Suffolk County,25025,02199,42.39888409341547,-70.9631242674858,411738.17,360320.97,81819
af54e620-8f47-a4e4-92d3-b3dbade590ba,2017-04-25,,999-53-9672,,,,Zulma,Beahan,,,,white,nonhispanic,F,Westford  Massachusetts  US,238 McCullough Track Suite 1,Boston,Massachusetts,Suffolk County,25025,02121,42.38682376223485,-71.09985539494926,1449.66,20785.29,15227
486cb5a7-c940-141a-9487-67a6fba964a6,1962-07-07,,999-57-6264,S99936295,X31432798X,Mrs.,Hassie,Jenkins,,Corkery,M,white,nonhispanic,F,Milton  Massachusetts  US,1053 Mraz Well Apt 71,Fall River,Massachusetts,Bristol County,25005,02724,41.5935319120186,-71.047811364628,11985.55,803476.59,20220
63a3fc31-d2ab-8456-e2e1-96e96311b11b,1977-08-18,,999-74-3408,S99934542,X37527805X,Ms.,Wai,Carroll,,,S,other,hispanic,F,Greenfield  Massachusetts  US,922 O'Reilly Vista Unit 52,Lancaster,Massachusetts,Worcester County,,00000,42.50985319867291,-71.64809894547945,126573.40,414314.86,189225
23d9189b-97e5-30d0-a3b8-516a6c296403,1965-05-14,2003-03-08,999-34-2673,S99938708,X25859362X,Ms.,Rosario,Terry,,,S,white,nonhispanic,F,Leominster  Massachusetts  US,331 Kuphal Drive,Beverly,Massachusetts,Essex County,25009,01915,42.59924148150387,-70.83932274329861,12925.93,388764.88,19462
ecc2fa45-328e-cefc-7c49-960443f70108,1981-11-20,,999-24-5585,S99939738,X21261581X,Ms.,Loida,Will,,,S,white,nonhispanic,F,Boston  Massachusetts  US,509 Ondricka Grove,Natick,Massachusetts,Middlesex County,,00000,42.26547586727034,-71.36999009436025,270937.94,670494.64,34322
7bb91702-bbce-f823-296d-967711dc6f56,1972-11-20,,999-60-9635,S99963041,X25401083X,Ms.,Casandra,Hickle,,,S,white,nonhispanic,F,Reading  Massachusetts  US,167 Gislason Highlands Suite 7,Groveland,Massachusetts,Essex County,,00000,42.77608588120534,-71.0623103010079,861456.40,630482.30,117826
